userName,review,at,rating,date,bank,source
DAWIT ESHETU,Best,2025-05-08 16:35:35,4,2025-05-08,CBE,Google Play
Teshale Legesse,the pride of Ethiopian bank 🏦,2025-05-08 16:08:07,5,2025-05-08,CBE,Google Play
Michael Endashaw,why the app telling me to turn of developer options please fix it.,2025-05-07 16:54:08,1,2025-05-07,CBE,Google Play
Tadeos Mekonen,good,2025-05-07 14:11:00,5,2025-05-07,CBE,Google Play
Dejene Demisu,ok,2025-05-07 11:45:15,5,2025-05-07,CBE,Google Play
Adil Men,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,2025-05-07 07:04:12,5,2025-05-07,CBE,Google Play
Alkerim Moh,ok,2025-05-07 06:38:53,5,2025-05-07,CBE,Google Play
Yordanos Abi,good,2025-05-06 14:38:42,3,2025-05-06,CBE,Google Play
Jemal Hassen,amazing apps,2025-05-06 13:33:35,5,2025-05-06,CBE,Google Play
Shafi Kedir,All service of Mobile Banking,2025-05-06 12:35:31,5,2025-05-06,CBE,Google Play
GSam Geda,needs improvement,2025-05-06 10:59:52,1,2025-05-06,CBE,Google Play
Abesalom Milion,i miss the old one i couldn't send my mony to other bank..,2025-05-06 10:34:08,1,2025-05-06,CBE,Google Play
Suleyman Ali,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2025-05-06 10:33:07,2,2025-05-06,CBE,Google Play
የኛ ቲዩብ,good,2025-05-06 10:28:47,5,2025-05-06,CBE,Google Play
SEID Ahmed,good but these week not oky,2025-05-06 09:56:15,4,2025-05-06,CBE,Google Play
Eyerusalem zewdie,well designed! Fixing bugs & two step verification with biometric... simply it's great!,2025-05-06 08:34:36,5,2025-05-06,CBE,Google Play
Tolosa tefera,Good app,2025-05-06 08:11:13,5,2025-05-06,CBE,Google Play
Nahom M,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,2025-05-05 18:48:43,1,2025-05-05,CBE,Google Play
Dine,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",2025-05-05 15:08:53,5,2025-05-05,CBE,Google Play
Zeynu Sherifa,CBE mobilr bankg,2025-05-05 11:25:29,5,2025-05-05,CBE,Google Play
KINGO A,wow,2025-05-05 09:25:17,1,2025-05-05,CBE,Google Play
je276,verygood,2025-05-05 00:06:27,3,2025-05-05,CBE,Google Play
Husen Hasen,ممتاز جدا,2025-05-04 17:08:37,5,2025-05-04,CBE,Google Play
Kamaal Yare,it's very low quality application,2025-05-04 16:23:40,1,2025-05-04,CBE,Google Play
Lina Lina love,Very Amazing Apps,2025-05-04 15:03:08,5,2025-05-04,CBE,Google Play
Dereje Messelle,አዛ,2025-05-04 14:41:19,1,2025-05-04,CBE,Google Play
Tamrat Admasu,wow simple life,2025-05-04 03:07:03,5,2025-05-04,CBE,Google Play
AWOL KEMAL,it's nice,2025-05-03 17:32:24,5,2025-05-03,CBE,Google Play
Alemayehu Asefa,Why stacked sometimes,2025-05-03 11:48:40,5,2025-05-03,CBE,Google Play
Tariku Asrat,good app,2025-05-03 11:18:05,5,2025-05-03,CBE,Google Play
FASIL KASSA MITIKU,nice,2025-05-03 09:54:17,5,2025-05-03,CBE,Google Play
Nimona Gebisa,okay 👍 but sometimes busy,2025-05-03 09:04:28,1,2025-05-03,CBE,Google Play
Araya Abrham,the worst commercial company that fails to do even the most normal things again and and again.,2025-05-03 08:10:57,1,2025-05-03,CBE,Google Play
Glory City,nice,2025-05-03 07:38:48,5,2025-05-03,CBE,Google Play
Mebratu Mathewos,Very good app. but disappointed by general cessation of system.,2025-05-02 18:48:08,5,2025-05-02,CBE,Google Play
Tibebu Terefe,excellent,2025-05-02 18:34:09,5,2025-05-02,CBE,Google Play
Seydie Mebrie,good,2025-05-02 17:46:24,5,2025-05-02,CBE,Google Play
Leta Getahun,good,2025-05-02 15:41:21,5,2025-05-02,CBE,Google Play
Abenezer Kidane,Good and fast,2025-05-02 15:26:06,5,2025-05-02,CBE,Google Play
Robel Seifu,Unreliable!,2025-05-02 15:00:51,1,2025-05-02,CBE,Google Play
Abdulkarim Abdala,Best the best fast,2025-05-02 14:41:29,5,2025-05-02,CBE,Google Play
Miret Ketema,good app,2025-05-02 14:38:21,5,2025-05-02,CBE,Google Play
Samuel Mihiret,happy,2025-05-02 14:21:51,5,2025-05-02,CBE,Google Play
Zerihun Adugna,fast and reliable,2025-05-02 14:09:37,5,2025-05-02,CBE,Google Play
Nahom Solomon,network errorrrrrr,2025-05-02 13:52:00,2,2025-05-02,CBE,Google Play
Mntesnot,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,2025-05-02 13:42:07,4,2025-05-02,CBE,Google Play
Sami Mesho,its good and simple to use,2025-05-02 12:47:48,5,2025-05-02,CBE,Google Play
Friyat Mulaw,worest app like that bank for security and network access,2025-05-02 12:44:39,1,2025-05-02,CBE,Google Play
Beza Sibhatu,it's the best app i,2025-05-02 12:03:06,5,2025-05-02,CBE,Google Play
abu ismail,not bad not good,2025-05-02 11:57:44,1,2025-05-02,CBE,Google Play
Mohammed-anwar Mdanwar,its very nice,2025-05-02 11:56:32,5,2025-05-02,CBE,Google Play
Aliye Abdela,do not work this week,2025-04-30 07:24:09,3,2025-04-30,CBE,Google Play
Tefera Tekle,It crashes frequently,2025-04-30 04:14:38,4,2025-04-30,CBE,Google Play
Harun Taha,the best,2025-04-28 17:52:10,5,2025-04-28,CBE,Google Play
ABDUrRAHMAN Xolod (ABBUDY98),"I can simply describe this app as ""Making all your work easier"".",2025-04-28 17:03:30,5,2025-04-28,CBE,Google Play
ay Hg,goid,2025-04-28 16:58:49,5,2025-04-28,CBE,Google Play
Dagim Andargie,best appearance,2025-04-27 18:57:03,5,2025-04-27,CBE,Google Play
badhoo bekele,it's very good 👍 app,2025-04-27 13:40:09,5,2025-04-27,CBE,Google Play
