userName,review,at,rating,date,bank,source
Lemuk,አይሰራም ሼም ነው፤,2024-12-23 14:03:45,1,2024-12-23,BOA,Google Play
Mohammedsaid Mohammedsaid,Not that much bad,2024-12-22 08:12:44,3,2024-12-22,BOA,Google Play
jemu Moha,Fine,2024-12-20 23:16:46,5,2024-12-20,BOA,Google Play
Habtamu Mekonnen,The dirtiest application ever seen...,2024-12-20 16:09:23,1,2024-12-20,BOA,Google Play
Teddy Aweke,Nic ap,2024-12-19 17:08:34,5,2024-12-19,BOA,Google Play
Mengstu asefa Shiferaw,The forest app ever,2024-12-19 08:07:06,1,2024-12-19,BOA,Google Play
Hamon,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",2024-12-19 03:02:34,1,2024-12-19,BOA,Google Play
Muse Naykin,Bank of abissena,2024-12-17 18:21:09,1,2024-12-17,BOA,Google Play
Abiyou Getachew,Good,2024-12-16 16:29:33,3,2024-12-16,BOA,Google Play
Natnael Zelalem,"Easy and sooo simple to use it, also its easy to stole someones money using the app",2024-12-16 10:02:26,3,2024-12-16,BOA,Google Play
Yabu 12,GOOD,2024-12-14 22:02:24,5,2024-12-14,BOA,Google Play
Kaleab Leyessa,The worst banking app ever. Never works!,2024-12-14 05:45:35,1,2024-12-14,BOA,Google Play
biruk mulugeta,Poorly functioning app,2024-12-13 09:55:02,3,2024-12-13,BOA,Google Play
معتصم بن يحي,Very nice,2024-12-13 07:57:24,5,2024-12-13,BOA,Google Play
Aman Abebe,Your system is the worst you should do better😡😡😡😡😡😡,2024-12-11 03:08:14,2,2024-12-11,BOA,Google Play
Matias Kebede,It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,2024-12-10 06:43:57,1,2024-12-10,BOA,Google Play
Siem Kibrom,"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",2024-12-08 20:16:05,4,2024-12-08,BOA,Google Play
Surafel,"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",2024-12-07 19:40:19,1,2024-12-07,BOA,Google Play
Lina Yonas,Nice,2024-12-07 15:00:27,5,2024-12-07,BOA,Google Play
Emmanuael Asrat,Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,2024-12-06 14:19:23,1,2024-12-06,BOA,Google Play
Haile Znabu,It doesn't work on my 2 devices A05 and A34 😡,2024-12-02 18:19:07,1,2024-12-02,BOA,Google Play
Behailu Kebede,It's better to say I don't use boa rather than pulling your phone out and opening this app,2024-12-01 11:52:25,1,2024-12-01,BOA,Google Play
Chuol Deng mayian,My attention is very important because it will be the most difficult time for me,2024-11-30 17:23:48,5,2024-11-30,BOA,Google Play
Abraham Assefa,"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",2024-11-29 03:40:35,1,2024-11-29,BOA,Google Play
Ephi T,I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,2024-11-28 08:44:51,1,2024-11-28,BOA,Google Play
Hildana Endale,This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,2024-11-28 07:17:48,1,2024-11-28,BOA,Google Play
Asefa Bekele,exellent digital transaction of money,2024-11-26 21:10:14,5,2024-11-26,BOA,Google Play
Khalid Ahmed,The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,2024-11-26 12:05:22,1,2024-11-26,BOA,Google Play
Berhan Nurleigzer,Best,2024-11-25 16:10:50,5,2024-11-25,BOA,Google Play
BOLE AIRPORT Migration,Great,2024-11-25 14:26:59,5,2024-11-25,BOA,Google Play
Abraham Kinfegebreal,👏👏👏,2024-11-24 18:31:39,5,2024-11-24,BOA,Google Play
Kalid Muhammad,Money,2024-11-24 07:31:41,5,2024-11-24,BOA,Google Play
Sadik Murad,It needs more improvment,2024-11-24 06:17:29,2,2024-11-24,BOA,Google Play
Moges Tadesse,Hey Google,2024-11-21 19:51:14,5,2024-11-21,BOA,Google Play
Woldetsadik Melese,Good app,2024-11-21 14:40:34,5,2024-11-21,BOA,Google Play
Rejeb Abdshkur,ab,2024-11-20 19:26:08,3,2024-11-20,BOA,Google Play
adem tahir,Ademtahir,2024-11-20 10:41:49,5,2024-11-20,BOA,Google Play
Biruk Tadesse,✌️✌️,2024-11-20 09:25:55,5,2024-11-20,BOA,Google Play
Miky Lyrics Orthodox,Please this app on my android phone,2024-11-20 06:25:05,3,2024-11-20,BOA,Google Play
Est,GOAT 🐐 🐐,2024-11-19 13:48:41,5,2024-11-19,BOA,Google Play
Henok Abebe,"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",2024-11-19 11:12:49,1,2024-11-19,BOA,Google Play
Geremew Girma,Fast and reliable,2024-11-18 15:58:47,5,2024-11-18,BOA,Google Play
